Track name, Artist name, Album, Playlist name, Type
Post Malone · Future · Halsey - Die For Me,,,3/07/21,Playlist track
Logic · Wiz Khalifa - Still Ballin,,,3/07/21,Playlist track
The Kid LAROI · Lil Mosey - WRONG,,,3/07/21,Playlist track
Charlie Puth - In The Dark [Official Audio],,,3/07/21,Playlist track
Post Malone · Young Thug - Goodbyes,,,3/07/21,Playlist track
Russ - Missin You Crazy,,,3/07/21,Playlist track
XXXTENTACION - the remedy for a broken heart (why am I so in love),,,3/07/21,Playlist track
"Ariana Grande, Social House - boyfriend (Official Video)",,,3/07/21,Playlist track
JVKE - golden hour (official music video),,,3/07/21,Playlist track
Adele - Set Fire to the Rain,,,3/07/21,Playlist track
Metro Boomin · Gunna - Space Cadet,,,3/07/21,Playlist track
SHAKIRA || BZRP Music Sessions #53,,,3/07/21,Playlist track
Khalid - Hundred,,,3/07/21,Playlist track
Troye Sivan - Strawberries & Cigarettes,,,3/07/21,Playlist track
